Time	NO2	NO	NOX	Etiquetas de columna	Promedio de NO2	12 a. m.	4.197826087																																																																											
16/04/2017 03:00	NaN	NaN	0																																																																															
16/04/2017 04:00	NaN	NaN	0																																																																															
16/04/2017 05:00	NaN	NaN	0																																																																															
16/04/2017 06:00	NaN	NaN	0																																																																															
16/04/2017 07:00	NaN	NaN	0																																																																															
16/04/2017 08:00	NaN	NaN	0																																																																															
16/04/2017 09:00	NaN	NaN	0																																																																															
16/04/2017 10:00	NaN	NaN	0																																																																															
16/04/2017 11:00	NaN	NaN	0																																																																															
16/04/2017 12:00	NaN	NaN	0																																																																															
16/04/2017 13:00	NaN	NaN	0																																																																															
16/04/2017 14:00	NaN	NaN	0																																																																															
16/04/2017 15:00	NaN	NaN	0																																																																															
16/04/2017 16:00	NaN	NaN	0																																																																															
16/04/2017 17:00	NaN	NaN	0																																																																															
16/04/2017 18:00	NaN	NaN	0																																																																															
16/04/2017 19:00	NaN	NaN	0																																																																															
16/04/2017 20:00	NaN	NaN	0																																																																															
16/04/2017 21:00	NaN	NaN	0																																																																															
16/04/2017 22:00	NaN	NaN	0																																																																															
16/04/2017 23:00	NaN	NaN	0																																																																															
17/04/2017 00:00	NaN	NaN	0																																																																															
17/04/2017 01:00	NaN	NaN	0																																																																															
17/04/2017 02:00	NaN	NaN	0																																																																															
17/04/2017 03:00	NaN	NaN	0																																																																															
17/04/2017 04:00	NaN	NaN	0																																																																															
17/04/2017 05:00	NaN	NaN	0																																																																															
17/04/2017 06:00	NaN	NaN	0																																																																															
17/04/2017 07:00	NaN	NaN	0																																																																															
17/04/2017 08:00	NaN	2.3	2.3																																																																															
17/04/2017 09:00	NaN	NaN	0																																																																															
17/04/2017 10:00	NaN	NaN	0																																																																															
17/04/2017 11:00	NaN	NaN	0																																																																															
17/04/2017 12:00	NaN	NaN	0																																																																															
17/04/2017 13:00	NaN	NaN	0																																																																															
17/04/2017 14:00	NaN	NaN	0																																																																															
17/04/2017 15:00	NaN	NaN	0																																																																															
17/04/2017 16:00	NaN	NaN	0																																																																															
17/04/2017 17:00	NaN	NaN	0																																																																															
