Fecha	PAH
6.06E+02	             NaN
6.07E+02	             NaN
6.08E+02	             NaN
6.09E+02	             NaN
6.10E+02	             NaN
6.11E+02	             NaN
6.12E+02	             NaN
6.13E+02	6.00
6.14E+02	             NaN
6.15E+02	             NaN
6.16E+02	             NaN
6.17E+02	             NaN
6.18E+02	             NaN
6.19E+02	             NaN
6.20E+02	             NaN
6.21E+02	6.00
6.22E+02	             NaN
6.23E+02	             NaN
6.24E+02	             NaN
6.25E+02	             NaN
6.26E+02	             NaN
6.27E+02	             NaN
6.28E+02	             NaN
6.29E+02	12.00
6.30E+02	             NaN
6.31E+02	             NaN
6.32E+02	             NaN
6.33E+02	             NaN
6.34E+02	             NaN
6.35E+02	             NaN
6.36E+02	             NaN
6.37E+02	             NaN
6.38E+02	10.00
6.39E+02	             NaN
6.40E+02	             NaN
6.41E+02	             NaN
6.42E+02	             NaN
6.43E+02	             NaN
6.44E+02	             NaN
6.45E+02	             NaN
6.46E+02	14.00
6.47E+02	             NaN
6.48E+02	             NaN
6.49E+02	             NaN
6.50E+02	             NaN
6.51E+02	             NaN
6.52E+02	             NaN
6.53E+02	             NaN
6.54E+02	8.00
6.55E+02	             NaN
6.56E+02	             NaN
6.57E+02	             NaN
6.58E+02	             NaN
6.58E+02	             NaN
6.59E+02	             NaN
7.00E+02	             NaN
7.01E+02	11.00
7.02E+02	             NaN
7.03E+02	             NaN
7.04E+02	             NaN
7.05E+02	             NaN
7.06E+02	             NaN
7.07E+02	             NaN
7.08E+02	             NaN
7.09E+02	7.00
7.10E+02	             NaN
7.11E+02	             NaN
7.12E+02	             NaN
7.13E+02	             NaN
7.14E+02	             NaN
7.15E+02	             NaN
7.16E+02	             NaN
7.17E+02	10.00
7.18E+02	             NaN
7.19E+02	             NaN
7.20E+02	             NaN
7.21E+02	             NaN
7.22E+02	             NaN
7.23E+02	             NaN
7.24E+02	             NaN
7.25E+02	2.00
7.26E+02	             NaN
7.27E+02	             NaN
7.28E+02	             NaN
7.29E+02	             NaN
7.30E+02	             NaN
7.31E+02	             NaN
7.32E+02	             NaN
7.33E+02	4.00
7.34E+02	             NaN
7.35E+02	             NaN
7.36E+02	             NaN
7.37E+02	             NaN
7.38E+02	             NaN
7.39E+02	             NaN
7.40E+02	             NaN
7.41E+02	6.00
7.42E+02	             NaN
7.43E+02	             NaN
7.44E+02	             NaN
7.45E+02	             NaN
7.46E+02	             NaN
7.47E+02	             NaN
7.48E+02	             NaN
7.49E+02	8.00
7.50E+02	             NaN
7.51E+02	             NaN
7.52E+02	             NaN
7.53E+02	             NaN
