start	MASA
20/04/2017 22:00	6.83012
20/04/2017 22:10	6.93462
20/04/2017 22:19	7.29828
20/04/2017 22:29	6.70472
20/04/2017 22:38	4.9115
20/04/2017 22:48	5.42982
20/04/2017 22:58	5.46326
20/04/2017 23:07	5.89798
20/04/2017 23:17	6.38286
20/04/2017 23:26	5.39638
20/04/2017 23:36	4.71086
20/04/2017 23:45	5.54686
20/04/2017 23:55	4.48096
21/04/2017 00:05	4.68578
21/04/2017 00:14	4.50604
21/04/2017 00:24	5.06198
21/04/2017 00:33	5.00346
21/04/2017 00:43	4.48932
21/04/2017 00:52	4.81118
21/04/2017 01:07	5.27934
21/04/2017 01:16	4.57292
21/04/2017 01:26	4.43498
21/04/2017 01:35	4.00444
21/04/2017 01:45	3.98772
21/04/2017 01:54	3.49448
21/04/2017 02:04	3.79544
21/04/2017 02:14	4.1591
21/04/2017 02:23	3.79544
21/04/2017 02:33	3.6993
21/04/2017 02:42	2.87584
21/04/2017 02:52	3.91666
21/04/2017 03:01	3.79126
21/04/2017 03:11	3.31892
21/04/2017 03:21	3.14754
21/04/2017 03:30	3.27712
21/04/2017 03:40	3.0723
21/04/2017 03:49	3.62824
21/04/2017 03:59	4.48932
21/04/2017 04:08	5.69316
21/04/2017 04:18	6.23238
21/04/2017 04:27	4.5562
21/04/2017 04:37	3.68258
21/04/2017 04:47	4.07968
21/04/2017 04:56	3.70766
21/04/2017 05:06	5.08288
21/04/2017 05:15	3.73692
21/04/2017 05:25	3.8874
21/04/2017 05:34	3.33564
21/04/2017 05:44	4.41826
21/04/2017 05:54	4.84462
21/04/2017 06:03	4.47678
21/04/2017 06:13	4.80282
21/04/2017 06:22	8.51884
21/04/2017 06:32	6.57932
21/04/2017 06:41	7.60342
21/04/2017 06:51	8.28058
21/04/2017 07:01	6.35778
21/04/2017 07:10	4.99092
21/04/2017 07:20	4.43498
21/04/2017 07:29	6.44556
21/04/2017 07:39	73.53874
21/04/2017 07:48	35.81842
21/04/2017 07:58	11.14806
21/04/2017 08:08	12.94546
21/04/2017 08:17	18.14956
21/04/2017 08:27	3.37744
21/04/2017 08:36	12.47312
21/04/2017 08:46	49.81724
21/04/2017 08:55	27.32466
21/04/2017 09:05	27.46678
21/04/2017 09:15	9.01208
21/04/2017 09:24	8.85742
21/04/2017 09:34	9.5513
21/04/2017 09:43	10.57122
21/04/2017 09:53	9.32976
21/04/2017 10:02	8.99118
21/04/2017 10:12	8.97864
21/04/2017 10:22	8.89922
21/04/2017 10:31	10.40402
21/04/2017 10:41	10.89726
21/04/2017 10:50	12.3728
21/04/2017 11:00	24.54914
21/04/2017 11:09	18.00326
21/04/2017 11:19	17.25086
21/04/2017 11:29	13.51394
21/04/2017 11:38	16.13062
21/04/2017 11:48	18.183
21/04/2017 11:57	11.31526
21/04/2017 12:07	12.44386
21/04/2017 12:16	8.30566
21/04/2017 12:26	11.286
21/04/2017 12:36	10.31624
21/04/2017 12:45	15.45764
21/04/2017 12:55	10.06962
21/04/2017 13:04	8.36418
21/04/2017 13:14	6.59604
21/04/2017 13:23	5.78512
21/04/2017 13:33	10.37894
21/04/2017 13:43	8.23042
21/04/2017 13:52	9.50114
21/04/2017 14:02	13.86088
21/04/2017 14:11	12.96218
21/04/2017 14:21	6.3118
21/04/2017 14:30	4.8697
21/04/2017 14:40	5.71406
21/04/2017 14:50	5.21664
21/04/2017 14:59	4.1173
21/04/2017 15:09	3.70348
21/04/2017 15:18	3.29384
21/04/2017 15:28	3.74946
21/04/2017 15:37	3.01796
21/04/2017 15:47	3.95846
21/04/2017 15:57	1.76396
21/04/2017 16:06	3.02632
21/04/2017 16:16	2.80896
21/04/2017 16:25	3.04722
21/04/2017 16:35	2.92182
21/04/2017 16:44	2.95526
21/04/2017 16:54	2.37842
21/04/2017 17:04	2.66266
21/04/2017 17:13	3.2813
21/04/2017 17:23	3.15172
21/04/2017 17:32	4.16746
21/04/2017 17:42	2.8842
21/04/2017 17:51	3.67004
21/04/2017 18:01	4.25942
21/04/2017 18:11	3.0096
21/04/2017 18:20	4.35556
21/04/2017 18:30	3.04722
21/04/2017 18:39	4.02534
21/04/2017 18:49	6.51244
21/04/2017 18:58	3.76618
21/04/2017 19:08	4.6607
21/04/2017 19:18	3.39834
21/04/2017 19:27	4.49768
21/04/2017 19:37	4.33466
21/04/2017 19:46	4.2218
21/04/2017 19:56	4.19672
21/04/2017 20:05	4.3054
21/04/2017 20:15	4.7861
21/04/2017 20:25	5.10378
21/04/2017 20:34	5.43818
21/04/2017 20:44	5.29606
21/04/2017 20:53	5.76004
21/04/2017 21:03	5.42982
21/04/2017 21:12	4.60636
21/04/2017 21:22	4.9742
21/04/2017 21:32	4.42244
21/04/2017 21:41	4.38482
21/04/2017 21:51	3.9292
21/04/2017 22:00	3.3022
21/04/2017 22:10	3.95846
21/04/2017 22:19	3.45268
21/04/2017 22:29	3.344
21/04/2017 22:39	3.0932
21/04/2017 22:48	3.21024
21/04/2017 22:58	3.1559
21/04/2017 23:07	3.24786
21/04/2017 23:17	3.09738
21/04/2017 23:26	3.35236
21/04/2017 23:36	3.45268
21/04/2017 23:46	3.06394
21/04/2017 23:55	3.30638
22/04/2017 00:05	2.72118
22/04/2017 00:14	3.18516
22/04/2017 00:24	3.4903
22/04/2017 00:33	2.9678
22/04/2017 00:43	3.01378
22/04/2017 00:53	3.41088
22/04/2017 01:07	3.79126
22/04/2017 01:16	4.65652
22/04/2017 01:26	4.77356
22/04/2017 01:35	5.24172
22/04/2017 01:45	5.03272
22/04/2017 01:54	5.16648
22/04/2017 02:04	3.96264
22/04/2017 02:14	3.98772
22/04/2017 02:23	3.9919
22/04/2017 02:33	3.135
22/04/2017 02:42	3.55718
22/04/2017 02:52	3.35654
22/04/2017 03:01	3.17262
22/04/2017 03:11	3.23532
22/04/2017 03:21	2.6752
22/04/2017 03:30	3.25622
22/04/2017 03:40	3.09738
22/04/2017 03:49	3.16008
22/04/2017 03:59	3.56972
22/04/2017 04:08	3.2604
22/04/2017 04:18	4.37228
22/04/2017 04:28	4.16746
22/04/2017 04:37	4.04206
22/04/2017 04:47	3.4903
22/04/2017 04:56	2.91764
22/04/2017 05:06	3.87068
22/04/2017 05:15	3.71184
22/04/2017 05:25	3.92502
22/04/2017 05:35	3.97518
22/04/2017 05:44	4.67324
22/04/2017 05:54	5.0787
22/04/2017 06:03	5.31278
22/04/2017 06:13	4.98256
22/04/2017 06:22	4.88224
22/04/2017 06:32	7.4613
22/04/2017 06:41	6.34106
22/04/2017 06:51	6.96806
22/04/2017 07:01	7.82914
22/04/2017 07:10	8.23042
22/04/2017 07:20	7.6076
22/04/2017 07:29	8.40598
22/04/2017 07:39	7.01822
22/04/2017 07:48	6.80086
22/04/2017 07:58	5.04944
22/04/2017 08:08	6.40376
22/04/2017 08:17	6.04428
22/04/2017 08:27	4.96166
22/04/2017 08:36	7.51564
22/04/2017 08:46	6.59186
22/04/2017 08:55	7.70374
22/04/2017 09:05	9.26288
22/04/2017 09:15	6.897
22/04/2017 09:24	6.14878
22/04/2017 09:34	5.6639
22/04/2017 09:43	9.35066
22/04/2017 09:53	10.72588
22/04/2017 10:02	9.82718
22/04/2017 10:12	8.57736
22/04/2017 10:22	11.2442
22/04/2017 10:31	9.97348
22/04/2017 10:41	11.04356
22/04/2017 10:50	15.03546
22/04/2017 11:00	16.52772
22/04/2017 11:09	18.25824
22/04/2017 11:19	19.5415
22/04/2017 11:29	24.1395
22/04/2017 11:38	27.70086
22/04/2017 11:48	32.2905
22/04/2017 11:57	36.5123
22/04/2017 12:07	33.46508
22/04/2017 12:16	32.75866
22/04/2017 12:26	31.37508
22/04/2017 12:36	33.08052
22/04/2017 12:45	28.9256
22/04/2017 12:55	29.0719
22/04/2017 13:04	27.52948
22/04/2017 13:14	19.42028
22/04/2017 13:23	14.99784
22/04/2017 13:33	17.98236
22/04/2017 13:43	15.66246
22/04/2017 13:52	16.07628
22/04/2017 14:02	16.73672
22/04/2017 14:11	14.63418
22/04/2017 14:21	14.15766
22/04/2017 14:30	13.21298
