10.22	8.96	6.54	8.28	10.85	10.73	5.86	NaN	NaN	NaN	NaN	NaN
NaN	4.76	NaN	NaN	6.13	8.61	NaN	7.36	NaN	6.12	NaN	NaN
13.35	NaN	9.35	6.06	14.44	9.78	8.43	8.8	NaN	4.78	8.2	NaN
10.25	5.78	10.39	4.86	5.54	10.08	5.03	13.15	5.93	7.48	NaN	6.9
6.26	NaN	NaN	4.67	5.45	7.57	10.78	7.54	7.33	11.57	7.17	NaN
10.98	10.43	14.92	NaN	7.88	13.77	13.42	12.48	13.26	8.44	8.63	NaN
13.93	20.3	13.89	9.21	NaN	7.96	7.86	20.31	27.2	20.44	7.48	8.84
13.76	9.32	17.29	9.72	6.68	13.07	15.02	12.4	21.69	15.97	9.42	11.19
9.68	11.5	15.69	6.51	8.61	11.01	12.53	12.39	21.61	4.5	8.31	10.23
10.45	NaN	16.87	12.89	10.05	10.51	10.22	7.57	22.42	9.04	NaN	NaN
15.35	12.55	NaN	4.56	8.67	7.13	12.03	8.64	28.65	5.32	NaN	NaN
13.24	NaN	NaN	9.05	8.65	9.96	13.94	NaN	23.47	NaN	4.69	NaN
7.15	NaN	7.27	NaN	NaN	6.63	11.01	8.09	21.04	NaN	4.98	5.17
11.61	NaN	20.64	4.88	5.53	NaN	NaN	5.14	20.2	9.22	6.33	NaN
10.2	6.76	10.4	6.89	6.19	4.19	NaN	7.04	7.91	NaN	NaN	5.15
9.26	NaN	16.18	NaN	4.29	NaN	8.27	NaN	11.83	NaN	8.95	6.26
4.51	NaN	10.83	NaN	NaN	NaN	10.25	NaN	17.83	NaN	NaN	6.3
10.12	4.54	8.29	NaN	NaN	NaN	13.21	NaN	10.96	NaN	10.37	9.54
11.45	NaN	7.26	NaN	4.54	9.39	6.43	7.31	15.57	5.73	10.24	5.67
19.08	NaN	11.37	NaN	NaN	8.27	7.58	NaN	20.69	5.01	13.4	9.08
25.42	5.62	7.79	NaN	7.56	8.47	8.47	9.54	16.61	5.84	NaN	7.65
22.04	NaN	11.22	NaN	13.79	7.4	9.24	9.09	18.19	5	6.09	5.31
32.67	NaN	7.5	NaN	10.97	6.52	NaN	NaN	15.68	NaN	8.22	6.14
16.85	6.34	6.15	NaN	9.51	8.7	8.14	NaN	15.64	6.65	29.76	NaN
15.51	NaN	8.02	6.77	9.61	5.22	NaN	9.76	13.25	NaN	7.59	6.75
NaN	NaN	8.37	NaN	13.17	9.4	6.44	4.73	10.11	8.98	16.41	4.53
NaN	NaN	6.8	NaN	11.84	6.28	NaN	5.19	11.94	6.5	13.24	7.55
NaN	5.18	4.25	6.03	11.19	8.86	8.44	8.31	6.47	11.51	9.62	7.53
10.48	7.93	8.67	NaN	8.24	8.76	7.74	4.71	13.83	14.21	12.76	NaN
NaN	4.11	11.24	7.4	6.71	8.01	9.77	7.9	15.36	7.48	8.52	23.65
4.43	NaN	NaN	5.59	NaN	16.68	25.61	12.29	23.39	5.43	9.94	15.69
5.98	12.29	10.24	10.05	11.36	12.5	18.11	9.44	17.2	4.24	9.49	14.04
NaN	7.86	10.37	11.14	6.91	11.87	14.49	8.39	24.81	10.93	12.19	15.28
6.68	NaN	8.29	7.04	8.21	6.26	13.62	7.46	30.83	6.15	10.59	15.15
5.03	6.37	9.96	10.88	11.09	13.32	16.67	12.81	28.51	NaN	9.49	15.21
NaN	7.32	9.85	10.9	4.5	9.27	17.44	5.01	25.96	NaN	8.47	11.68
4.77	4.12	6.87	11.56	7.79	6.4	17.42	NaN	17.68	NaN	9.5	6.51
NaN	NaN	7.68	11.92	7.55	5.1	13.8	5.76	9.17	12.57	10.4	10.7
NaN	6.8	5.79	NaN	NaN	4.6	11.76	NaN	11.22	NaN	9.29	5.29
6.12	9.77	NaN	NaN	NaN	4.38	8.24	NaN	4.36	NaN	NaN	NaN
NaN	NaN	NaN	5.9	5.84	NaN	10.53	NaN	10.36	NaN	9.81	5.06
