start	SUMA
03/06/2017 00:43	2158
03/06/2017 00:52	1698
03/06/2017 01:07	1351
03/06/2017 01:16	1731
03/06/2017 01:26	1876
03/06/2017 01:35	2095
03/06/2017 01:45	1594
03/06/2017 01:54	1598
03/06/2017 02:04	1456
03/06/2017 02:14	967
03/06/2017 02:23	1089
03/06/2017 02:33	1544
03/06/2017 02:42	947
03/06/2017 02:52	837
03/06/2017 03:01	833
03/06/2017 03:11	602
03/06/2017 03:21	555
03/06/2017 03:30	1074
03/06/2017 03:40	963
03/06/2017 03:49	1402
03/06/2017 03:59	1322
03/06/2017 04:08	981
03/06/2017 04:18	711
03/06/2017 04:28	0
03/06/2017 04:28	898
03/06/2017 04:37	903
03/06/2017 04:47	959
03/06/2017 04:56	961
03/06/2017 05:06	0
03/06/2017 05:06	1156
03/06/2017 05:16	996
03/06/2017 05:25	752
03/06/2017 05:35	493
03/06/2017 05:44	695
03/06/2017 05:54	776
03/06/2017 06:03	911
03/06/2017 06:13	1229
03/06/2017 06:23	1544
03/06/2017 06:32	1397
03/06/2017 06:42	2110
03/06/2017 06:51	1775
03/06/2017 07:01	2285
03/06/2017 07:10	2286
03/06/2017 07:20	2298
03/06/2017 07:30	2030
03/06/2017 07:39	2190
03/06/2017 07:49	2971
03/06/2017 07:58	2900
03/06/2017 08:08	2838
03/06/2017 08:17	3212
03/06/2017 08:27	2770
03/06/2017 08:37	2490
03/06/2017 08:46	1992
03/06/2017 08:56	2911
03/06/2017 09:05	3253
03/06/2017 09:15	2933
03/06/2017 09:24	2266
03/06/2017 09:34	2836
03/06/2017 09:44	2912
03/06/2017 09:53	3270
03/06/2017 10:03	3024
03/06/2017 10:12	3256
03/06/2017 10:22	3497
03/06/2017 10:31	3474
03/06/2017 10:41	3065
03/06/2017 10:51	2886
03/06/2017 11:00	3277
03/06/2017 11:10	3258
03/06/2017 11:19	3737
03/06/2017 11:29	4112
03/06/2017 11:38	3418
03/06/2017 11:48	5491
03/06/2017 11:58	5060
03/06/2017 12:07	0
03/06/2017 12:07	3361
03/06/2017 12:17	3379
03/06/2017 12:26	3748
03/06/2017 12:36	2686
03/06/2017 12:45	2877
03/06/2017 12:55	4015
03/06/2017 13:05	2444
03/06/2017 13:14	2687
03/06/2017 13:24	2787
03/06/2017 13:33	3759
03/06/2017 13:43	4013
03/06/2017 13:52	2916
03/06/2017 14:02	3737
03/06/2017 14:12	2738
03/06/2017 14:21	2854
03/06/2017 14:31	2800
03/06/2017 14:40	1888
03/06/2017 14:50	2173
03/06/2017 14:59	1081
03/06/2017 15:09	2199
03/06/2017 15:19	1847
03/06/2017 15:28	1901
03/06/2017 15:38	2284
03/06/2017 15:47	2056
03/06/2017 15:57	2082
03/06/2017 16:07	2578
03/06/2017 16:16	1948
03/06/2017 16:26	2356
03/06/2017 16:35	2845
03/06/2017 16:45	2109
03/06/2017 16:54	1989
03/06/2017 17:04	2404
03/06/2017 17:13	3315
03/06/2017 17:23	3698
03/06/2017 17:33	3767
03/06/2017 17:42	3596
03/06/2017 17:52	3039
03/06/2017 18:01	2689
03/06/2017 18:11	2569
03/06/2017 18:20	2538
03/06/2017 18:30	2589
03/06/2017 18:40	2454
03/06/2017 18:49	2217
03/06/2017 18:59	1665
03/06/2017 19:08	2558
03/06/2017 19:18	1765
03/06/2017 19:27	2090
03/06/2017 19:37	2376
03/06/2017 19:47	3248
03/06/2017 19:56	2247
03/06/2017 20:06	2620
03/06/2017 20:15	3227
03/06/2017 20:25	3284
03/06/2017 20:34	3157
03/06/2017 20:44	3196
03/06/2017 20:54	3382
03/06/2017 21:03	4355
03/06/2017 21:13	4512
03/06/2017 21:22	3723
03/06/2017 21:32	3388
03/06/2017 21:41	2729
03/06/2017 21:51	2783
03/06/2017 22:01	2378
03/06/2017 22:10	2415
03/06/2017 22:20	1330
03/06/2017 22:29	1403
03/06/2017 22:39	1014
03/06/2017 22:48	1381
03/06/2017 22:58	649
03/06/2017 23:08	1096
03/06/2017 23:17	1198
03/06/2017 23:27	1622
03/06/2017 23:36	1308
03/06/2017 23:46	1707
03/06/2017 23:55	1637
04/06/2017 00:05	1976
04/06/2017 00:15	1556
04/06/2017 00:24	1969
04/06/2017 00:34	2135
04/06/2017 00:43	1877
04/06/2017 00:53	1517
04/06/2017 01:06	1593
04/06/2017 01:16	1195
04/06/2017 01:25	878
04/06/2017 01:35	1224
04/06/2017 01:44	1302
04/06/2017 01:54	1467
04/06/2017 02:04	1036
04/06/2017 02:13	1048
04/06/2017 02:23	776
04/06/2017 02:32	851
04/06/2017 02:42	683
04/06/2017 02:51	897
04/06/2017 03:01	698
04/06/2017 03:11	909
04/06/2017 03:20	625
04/06/2017 03:30	447
04/06/2017 03:39	679
04/06/2017 03:49	319
04/06/2017 03:58	596
04/06/2017 04:08	506
04/06/2017 04:18	942
04/06/2017 04:27	771
04/06/2017 04:37	886
04/06/2017 04:46	1105
04/06/2017 04:56	683
04/06/2017 05:05	902
04/06/2017 05:15	715
04/06/2017 05:25	990
04/06/2017 05:34	1194
04/06/2017 05:44	978
04/06/2017 05:53	1019
04/06/2017 06:03	910
04/06/2017 06:12	838
04/06/2017 06:22	1288
04/06/2017 06:32	1297
04/06/2017 06:41	1467
04/06/2017 06:51	1092
04/06/2017 07:00	1411
04/06/2017 07:10	1031
04/06/2017 07:19	933
04/06/2017 07:29	838
04/06/2017 07:39	1264
04/06/2017 07:48	1332
04/06/2017 07:58	1147
04/06/2017 08:07	954
04/06/2017 08:17	1513
04/06/2017 08:26	1381
04/06/2017 08:36	1554
04/06/2017 08:46	1442
04/06/2017 08:55	2439
04/06/2017 09:05	1813
04/06/2017 09:14	1919
04/06/2017 09:24	1639
04/06/2017 09:33	1673
04/06/2017 09:43	1641
04/06/2017 09:53	1562
04/06/2017 10:02	1079
04/06/2017 10:12	779
04/06/2017 10:21	1346
04/06/2017 10:31	1269
04/06/2017 10:40	1405
04/06/2017 10:50	1278
04/06/2017 11:00	1157
04/06/2017 11:09	1627
04/06/2017 11:19	1063
04/06/2017 11:28	1126
04/06/2017 11:38	1100
04/06/2017 11:47	971
04/06/2017 11:57	1242
04/06/2017 12:07	771
04/06/2017 12:16	864
04/06/2017 12:26	1167
04/06/2017 12:35	920
04/06/2017 12:45	617
04/06/2017 12:54	801
04/06/2017 13:04	1156
04/06/2017 13:14	1373
04/06/2017 13:23	929
04/06/2017 13:33	754
04/06/2017 13:42	1050
04/06/2017 13:52	1219
04/06/2017 14:01	759
04/06/2017 14:11	1056
04/06/2017 14:21	689
04/06/2017 14:30	901
04/06/2017 14:40	827
04/06/2017 14:49	833
04/06/2017 14:59	663
04/06/2017 15:08	878
04/06/2017 15:18	1296
04/06/2017 15:28	890
04/06/2017 15:37	730
04/06/2017 15:47	886
04/06/2017 15:56	878
04/06/2017 16:06	1112
04/06/2017 16:15	1151
04/06/2017 16:25	1244
04/06/2017 16:35	1238
04/06/2017 16:44	953
04/06/2017 16:54	906
04/06/2017 17:03	2622
04/06/2017 17:13	1134
04/06/2017 17:22	1090
04/06/2017 17:32	1124
04/06/2017 17:42	1134
04/06/2017 17:51	1152
04/06/2017 18:01	2944
